timestamp;thermostat_navn;temperature;setpoint;reguleringstype;state;heater;heat_percent
2026-08-04T18:11:30;Kogekar;25,100;45,000;auto;Opvarmning;1;100,000
2026-08-04T18:11:35;Kogekar;25,100;45,000;auto;Opvarmning;1;100,000
2026-08-04T18:11:41;Kogekar;25,100;45,000;auto;Opvarmning;1;100,000
2026-08-04T18:11:46;Kogekar;25,200;45,000;auto;Opvarmning;1;100,000
2026-08-04T18:11:51;Kogekar;25,200;45,000;auto;Opvarmning;1;100,000
2026-08-04T18:11:56;Kogekar;25,500;45,000;auto;Opvarmning;1;100,000
2026-08-04T18:12:02;Kogekar;25,600;45,000;auto;Opvarmning;1;100,000
2026-08-04T18:12:07;Kogekar;25,700;45,000;auto;Opvarmning;1;100,000
2026-08-04T18:12:12;Kogekar;25,600;45,000;auto;Opvarmning;1;100,000
2026-08-04T18:12:17;Kogekar;25,500;45,000;auto;Opvarmning;1;100,000
2026-08-04T18:12:23;Kogekar;25,600;45,000;auto;Opvarmning;1;100,000
2026-08-04T18:12:28;Kogekar;25,600;45,000;auto;Opvarmning;1;100,000
2026-08-04T18:12:33;Kogekar;25,500;45,000;auto;Opvarmning;1;100,000
2026-08-04T18:12:38;Kogekar;25,500;45,000;auto;Opvarmning;1;100,000
2026-08-04T18:12:43;Kogekar;25,500;45,000;auto;Opvarmning;1;100,000
2026-08-04T18:12:49;Kogekar;25,500;45,000;auto;Opvarmning;1;100,000
2026-08-04T18:12:54;Kogekar;25,700;45,000;auto;Opvarmning;1;100,000
2026-08-04T18:12:59;Kogekar;25,700;45,000;auto;Opvarmning;1;100,000
2026-08-04T18:13:04;Kogekar;25,700;45,000;auto;Opvarmning;1;100,000
2026-08-04T18:13:09;Kogekar;25,800;45,000;auto;Opvarmning;1;100,000
2026-08-04T18:13:15;Kogekar;25,700;45,000;auto;Opvarmning;1;100,000
2026-08-04T18:13:20;Kogekar;25,800;45,000;auto;Opvarmning;1;100,000
2026-08-04T18:13:25;Kogekar;25,900;45,000;auto;Opvarmning;1;100,000
2026-08-04T18:13:30;Kogekar;26,000;45,000;auto;Opvarmning;1;100,000
2026-08-04T18:13:36;Kogekar;26,000;45,000;auto;Opvarmning;1;100,000
2026-08-04T18:13:41;Kogekar;26,000;45,000;auto;Opvarmning;1;100,000
2026-08-04T18:13:46;Kogekar;25,900;45,000;auto;Opvarmning;1;100,000
2026-08-04T18:13:52;Kogekar;25,900;45,000;auto;Opvarmning;1;100,000
