timestamp:thermostat_navn:temperature:setpoint:state:heater:heat_percent
2026-07-30T17:44:50:Kogekar:29,800:50,000:Opvarmning:1:100,000
2026-07-30T17:44:55:Kogekar:29,800:50,000:Opvarmning:1:100,000
2026-07-30T17:45:00:Kogekar:30,000:50,000:Opvarmning:1:100,000
2026-07-30T17:45:06:Kogekar:30,200:50,000:Opvarmning:1:100,000
2026-07-30T17:45:11:Kogekar:30,100:50,000:Opvarmning:1:100,000
2026-07-30T17:45:16:Kogekar:30,000:50,000:Opvarmning:1:100,000
2026-07-30T17:45:21:Kogekar:30,100:50,000:Opvarmning:1:100,000
2026-07-30T17:45:26:Kogekar:30,100:50,000:Opvarmning:1:100,000
2026-07-30T17:45:31:Kogekar:30,300:50,000:Opvarmning:1:100,000
2026-07-30T17:45:36:Kogekar:30,400:50,000:Opvarmning:1:100,000
2026-07-30T17:45:41:Kogekar:30,500:50,000:Opvarmning:1:100,000
2026-07-30T17:45:46:Kogekar:30,500:50,000:Opvarmning:1:100,000
2026-07-30T17:45:52:Kogekar:30,500:50,000:Opvarmning:1:100,000
2026-07-30T17:45:57:Kogekar:30,600:50,000:Opvarmning:1:100,000
2026-07-30T17:46:02:Kogekar:30,700:50,000:Opvarmning:1:100,000
2026-07-30T17:46:07:Kogekar:30,900:50,000:Opvarmning:1:100,000
2026-07-30T17:46:12:Kogekar:31,000:50,000:Opvarmning:1:100,000
2026-07-30T17:46:17:Kogekar:31,200:50,000:Opvarmning:1:100,000
2026-07-30T17:46:22:Kogekar:31,500:50,000:Opvarmning:1:100,000
2026-07-30T17:46:27:Kogekar:31,600:50,000:Opvarmning:1:100,000
2026-07-30T17:46:33:Kogekar:31,700:50,000:Opvarmning:1:100,000
2026-07-30T17:46:38:Kogekar:31,700:50,000:Opvarmning:1:100,000
2026-07-30T17:46:43:Kogekar:31,700:50,000:Opvarmning:1:100,000
2026-07-30T17:46:48:Kogekar:31,600:50,000:Opvarmning:1:100,000
2026-07-30T17:46:53:Kogekar:31,500:50,000:Opvarmning:1:100,000
2026-07-30T17:46:58:Kogekar:31,900:50,000:Opvarmning:1:100,000
2026-07-30T17:47:03:Kogekar:31,900:50,000:Opvarmning:1:100,000
2026-07-30T17:47:08:Kogekar:31,800:50,000:Opvarmning:1:100,000
2026-07-30T17:47:13:Kogekar:31,900:50,000:Opvarmning:1:100,000
2026-07-30T17:47:18:Kogekar:31,900:50,000:Opvarmning:1:100,000
2026-07-30T17:47:23:Kogekar:31,800:50,000:Opvarmning:1:100,000
2026-07-30T17:47:28:Kogekar:31,700:50,000:Opvarmning:1:100,000
2026-07-30T17:47:33:Kogekar:31,600:50,000:Opvarmning:1:100,000
2026-07-30T17:47:38:Kogekar:31,700:50,000:Opvarmning:1:100,000
2026-07-30T17:47:44:Kogekar:31,700:50,000:Opvarmning:1:100,000
2026-07-30T17:47:49:Kogekar:31,600:50,000:Opvarmning:1:100,000
2026-07-30T17:47:54:Kogekar:31,800:50,000:Opvarmning:1:100,000
